receptor_id,ligand_id,receptor_design_ligand_id,receptor_design_rank,receptor_design_design_to_target_iptm,receptor_design_min_design_to_target_pae,boltz2_affinity_probability_binary,boltz2_affinity_pred_value
naltrexone_rank9,nitazene,naltrexone_rank9__nitazene,9,0.7873,2.36105,0.23389397809902826,1.3100685675938923
naltrexone_rank10,DAMGO,naltrexone_rank10__DAMGO,10,0.79052,2.42148,0.18716291089852652,1.3809101978937786
naltrexone_rank10,morphine,naltrexone_rank10__morphine,10,0.79052,2.42148,0.28433874249458313,1.1671387751897175
naltrexone_rank10,naltrexone,naltrexone_rank10__naltrexone,10,0.79052,2.42148,0.3327863812446594,0.5001093248526255
naltrexone_rank10,nitazene,naltrexone_rank10__nitazene,10,0.79052,2.42148,0.2872632642587026,1.4185229539871216
naltrexone_rank11,DAMGO,naltrexone_rank11__DAMGO,11,0.86985,1.25838,0.17144095400969186,1.1846705675125122
naltrexone_rank11,morphine,naltrexone_rank11__morphine,11,0.86985,1.25838,0.20192143569389978,1.511023998260498
naltrexone_rank11,naltrexone,naltrexone_rank11__naltrexone,11,0.86985,1.25838,0.5172918836275736,0.05923814699053764
naltrexone_rank11,nitazene,naltrexone_rank11__nitazene,11,0.86985,1.25838,0.4524097144603729,0.889827827612559
naltrexone_rank12,DAMGO,naltrexone_rank12__DAMGO,12,0.8461,1.76826,0.14039702961842218,1.1572555303573608
naltrexone_rank12,morphine,naltrexone_rank12__morphine,12,0.8461,1.76826,0.19927080223957697,1.1938977440198262
naltrexone_rank12,naltrexone,naltrexone_rank12__naltrexone,12,0.8461,1.76826,0.2887992759545644,0.17701275646686554
naltrexone_rank12,nitazene,naltrexone_rank12__nitazene,12,0.8461,1.76826,0.4279112120469411,0.9774317542711893
naltrexone_rank13,DAMGO,naltrexone_rank13__DAMGO,13,0.83249,1.8843,0.13707448169589043,1.054995318253835
naltrexone_rank13,morphine,naltrexone_rank13__morphine,13,0.83249,1.8843,0.21093071003754935,1.500420371691386
