SMILES,Visits,Score,Q_Value,Depth
Cc1ccc(-n2cnc3c(Nc4c(F)cc(NC5CCC=C5C5(O)C=C(Cl)CC5)cc4F)ncnc32)cc1C,1,9.48,8.169333333333334,26
Cc1c(C2(O)CCCCCCCC2)cccc1S(=O)(=O)Nc1c(C)c(C(F)(F)F)cc(C(F)(F)F)c1C,1,9.48,8.481333333333334,20
NC1=CC(=O)C(=Cc2ccc(Cl)c(S(=O)(=O)Nc3cc(F)c(F)cc3NC3=CC(=O)CCC3)c2)C1,1,9.479999999999999,8.616666666666669,24
O=C1C=C(Nc2ccc(Nc3ccc(F)c(F)c3)cc2Nc2ccccc2)CCC1=Cc1ccc(F)c(F)c1,1,9.469999999999999,8.164827586206897,23
CC1=C(O)C(=O)C(=Cc2ccc(C)c(Nc3cc(C)c(C)cc3NCc3ccc(C)c(F)c3)c2)C1,1,9.459999999999997,8.518333333333334,21
CC1=C(O)C(=O)C(=Cc2cccc(S(=O)(=O)Nc3c(F)c(F)c(F)c(F)c3F)c2)C1,1,9.459999999999997,8.603793103448275,23
CC1=C(C)C(=O)C(=Cc2cc(Br)cc(S(=O)(=O)Nc3c(F)cc(F)c(O)c3F)c2)CC1,1,9.450000000000003,8.87,23
Cc1ccc(N(c2ncnc3c2ncn3-c2cc(F)c(C)c(F)c2)C2C=C(C3(O)C=C(Cl)CC3)CC2)cc1C,1,9.450000000000001,8.169333333333334,24
CC1=C(C)C(=O)C(=Cc2ccc(Cl)c(S(=O)(=O)Nc3cc(F)c(F)cc3N)c2)CC1,1,9.44,8.616666666666669,24
CC1CC(=O)CC(=O)C1=Cc1cccc(S(=O)(=O)Nc2cc(F)c(F)cc2F)c1,1,9.43,8.814285714285713,24
CC1=CCCC(=Cc2cc(C)c(Nc3cc(Oc4c(N)c(F)cc(Cl)c4Cl)c(F)cc3F)c(C)c2)C1=O,1,9.42,8.164827586206897,25
O=S(=O)(Nc1cc(C(F)(F)F)ccc1C1(O)CCCCCCCCC1)c1cccc(Cl)c1O,1,9.42,8.615,23
CC1=CC(=O)C(=Cc2cccc(S(=O)(=O)Nc3c(F)cccc3F)c2)CC1,1,9.42,8.708214285714288,27
CC1=C(C)C(=O)C(=Cc2ccccc2S(=O)(=O)Nc2c(F)cc(F)c(O)c2F)CC1,1,9.419999999999998,8.87,24
CC1=CC(O)(c2cc(Cl)cc(S(=O)(=O)Nc3c(F)cc(F)cc3F)c2)CC1C,1,9.419999999999998,8.708214285714288,32
Cc1ccc(C2(O)CCC(=O)C(=Cc3cc(O)cc(O)c3)C2)cc1S(=O)(=O)Nc1c(F)cc(F)c(O)c1F,2,9.41,8.826333333333334,20
Nc1c(NS(=O)(=O)c2cc(C=C3CCC(NC4=CC(=O)CCC4)=CC3=O)ccc2Cl)cc(F)c(F)c1I,1,9.41,8.616666666666669,26
O=C1C(=Cc2cccc(S(=O)(=O)Nc3cc(C(F)(F)F)c(F)cc3F)c2)CC(Br)=C1O,1,9.41,8.819666666666667,20
Cc1c(C)c(S(=O)(=O)Nc2cc(C(F)(F)F)ccc2N)c(C)c(C)c1OC1(C)CCCCCCCCCCC1,1,9.41,8.453333333333331,25
CC1=CCC(=Cc2cccc(S(=O)(=O)Nc3c(C)c(C(F)(F)F)cc(C(F)(F)F)c3C)c2)CC1,1,9.41,8.518333333333334,19
Nc1cccc(S(=O)(=O)N(C2=CC(=O)CCC2)c2ccc(C3=CC(=O)CCC3)c(F)c2)c1,1,9.4,8.708214285714288,33
CC1=CC(=O)C(=Cc2cc(S(=O)(=O)Nc3c(F)cc(F)c(O)c3F)ccc2F)C1,1,9.4,8.87,23
Cc1c(NS(=O)(=O)c2cccc(CBr)c2)cc(C=C2CC3(C)CC(=O)CC(C)(C2)C3)cc1C(F)(F)F,0,9.4,0.0,25
CC1=CC(=O)C(=Cc2cc(Br)cc(S(=O)(=O)Nc3c(F)cc(F)c(O)c3F)c2)CC1,1,9.4,8.87,22
O=C1C(=Cc2cccc(S(=O)(=O)Nc3cc(C(F)(F)F)c(F)cc3F)c2)CC(O)=C1Br,1,9.4,8.819666666666667,21
Nc1cc(C(F)(F)F)ccc1NS(=O)(=O)c1cccc(C2(O)CCCCCCCC2)c1F,1,9.4,8.615,24
CC1CCCC(O)(c2cccc(S(=O)(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)c2N)C1,1,9.39,8.615,24
Cc1cc(F)c(C(F)(F)F)cc1NS(=O)(=O)c1cccc(C=C2CCCCCC2=O)c1,31,9.389999999999999,7.814331797235023,18
CCC1=CC(=O)C(=Cc2ccc(Cl)c(S(=O)(=O)Nc3c(F)c(F)c(O)c(F)c3F)c2)CC1,1,9.380000000000003,8.87,23
CCC1=CC(=O)C(=Cc2cc(S(=O)(=O)Nc3c(F)cc(F)c(Br)c3F)ccc2F)CC1,29,9.38,8.71379310344828,20
Cc1c(C(F)(F)F)cc(C(F)(F)F)c(C)c1NS(=O)(=O)c1cccc(C=C2CC(O)=C(Br)C2=O)c1,1,9.379999999999999,8.760000000000002,24
COC1=C(Br)C(=O)C(=Cc2ccc(Cl)c(S(=O)(=O)Nc3c(C)c(C(F)(F)F)cc(C(F)(F)F)c3C)c2)C1,0,9.379999999999999,0.0,17
C=C1CC(c2cc(NS(=O)(=O)c3cccc(C=C4C(=O)CC4N)c3)c(C)c(C(F)(F)F)c2)C1,1,9.379999999999999,8.814285714285713,20
Cc1cc(Cl)c(C)c(S(=O)(=O)Nc2c(C)cc(C(F)(F)F)cc2C2(O)CCCCCCCCC2)c1Cl,1,9.379999999999999,8.453333333333331,20
CC1=C(C)C(=O)C(=Cc2cccc(S(=O)(=O)Nc3c(F)cc(F)c(O)c3F)c2)CC1,2,9.370000000000001,8.87,19
Cc1ccc(C2(O)CCC(=O)C(=Cc3cccc(O)c3)C2)cc1S(=O)(=O)Nc1c(F)cc(F)cc1F,1,9.370000000000001,8.826333333333334,23
Cc1cc(N)c(NS(=O)(=O)c2c(C)c(C)c(C3(O)CCCCCCCC3)c(C)c2C)cc1F,1,9.37,8.453333333333331,25
Cc1cccc(S(=O)(=O)NC(=O)C(=O)NCC2(C)CCC(Nc3c(F)cccc3C(F)(F)F)C2)c1,1,9.360000000000001,7.825862068965518,23
Cc1cc(F)c(NS(=O)(=O)c2ccc(F)c(C=C3C(=O)CC(C)CC3C)c2)cc1F,1,9.36,7.789310344827587,26
CC1=CC(Oc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)(C(=O)Nc2cc(C)cc(O)c2)CC1,1,9.36,8.489655172413794,21
CC1CC2CC(=O)C(=Cc3cccc(S(=O)(=O)Nc4cc(F)c(Br)c(F)c4)c3)C2C1,1,9.35,8.338928571428571,27
CC1=CC(=O)C(=Cc2ccc(Cl)c(S(=O)(=O)Nc3cc(F)c(I)c(F)c3)c2)C1C,1,9.349999999999998,8.708214285714288,33
CC1(CNS(=O)(=O)c2cccc(S(=O)(=O)Cl)c2)CCC(Nc2c(C(F)(F)F)cccc2C(F)(F)F)CC1,1,9.349999999999998,7.825862068965518,19
Cc1cc(F)c(C(F)(F)F)cc1NS(=O)(=O)c1c(C2(O)CCOC(C3CC3)C2)ccc(C(F)(F)F)c1F,1,9.34,8.449310344827586,22
Nc1cc(C(F)(F)F)ccc1NS(=O)(=O)c1cccc(C2(O)CCCCCCCC2)c1O,1,9.34,8.615,22
O=C1CCC(O)(C2=C(Br)C(=O)C(Br)=C(Br)C2=O)C(=Cc2cccc(S(=O)(=O)Nc3c(F)cc(F)c(O)c3F)c2)C1,1,9.34,8.430666666666665,24
Cc1ccc(C2(O)CCC(=O)C(=Cc3cc(O)ccc3O)C2)cc1S(=O)(=O)Nc1c(F)cc(F)c(O)c1F,1,9.34,8.826333333333334,21
CC1=C(O)C(=O)C(=Cc2cccc(S(=O)(=O)Nc3cc(C(F)(F)F)c(F)cc3O)c2)C1,1,9.34,8.819666666666667,22
Cc1cc(F)c(C(F)(F)F)cc1NS(=O)(=O)c1cccc(C=C2C(=O)CC3CC(C)CC23)c1,1,9.34,8.204,24
Cc1ccc(C2(O)CCC(=O)C(=Cc3cccc(O)c3)C2)cc1S(=O)(=O)N(C)c1cc(F)c(F)cc1F,2,9.34,8.826333333333334,20
Cc1cc(C)cc(S(=O)(=O)Nc2cc(C3=CC(=O)CCC3)cc(C(F)(F)F)c2F)c1,1,9.34,7.962413793103445,24
Cc1cc(C)c(NS(=O)(=O)c2ccc(F)c(C=C3CC(O)(C4=C(Cl)C(=O)C(Cl)=C(Cl)C4=O)CCC3=O)c2)cc1C,1,9.34,7.7106666666666674,24
O=C1C=C(Cl)CCC1=Cc1cc(S(=O)(=O)Nc2c(F)cc(F)cc2F)ccc1F,0,9.330000000000002,0.0,26
Cc1cc(NS(=O)(=O)c2cccc(C=C3C=CC4(CC3)CC4)c2)c(N)cc1C(F)(F)F,1,9.33,8.544,21
CC1=C(NC2=CC(=O)C(=Cc3ccc(F)c(S(=O)(=O)Nc4cc(F)c(F)cc4F)c3)C2)CC1=O,1,9.33,8.616666666666669,24
CC1CCCC(O)(c2cccc(S(=O)(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)c2O)C1,1,9.33,8.615,22
Cc1cc(NS(=O)(=O)c2cccc(C=C3[C@H]4CC=C[C@H]4[C@H]3C)c2)c(N)cc1C(F)(F)F,1,9.33,8.544,21
Cc1cc(NS(=O)(=O)c2cccc(C=C3C=CC4(CCCC4)CC3)c2)c(N)cc1C(F)(F)F,1,9.33,8.544,22
CCOC1=C(C)C(OC2C[C@@H](C(C)=CC(C)CC)CCC2=Cc2cc(S(=O)(=O)Nc3cc(C(F)(F)F)ccc3F)ccc2F)(C(=O)Nc2cccc(S(=O)(=O)Nc3ccccc3F)c2)C1,31,9.320000000000002,6.392438709677418,3
Cc1ccc(C2(O)CCC(=O)C(=Cc3cccc(O)c3)C2)cc1S(=O)(=O)Nc1cc(F)c(O)c(F)c1F,1,9.32,8.826333333333334,23
Cc1ccc(NC(=O)Nc2cc(C(F)(F)F)cc(C)c2C=C2CCC(C)CC2)cc1C,0,9.32,0.0,25
Cc1c(C)c(C)c(NS(=O)(=O)c2cccc(CC=C3CC4(C)CC(=O)CC(C)(C3)C4)c2)c(N)c1C,29,9.32,7.796551724137935,25
Cc1cc(NS(=O)(=O)c2cccc(C=C3C=CC(C)(C)CC3)c2)c(N)cc1C(F)(F)F,1,9.319999999999999,8.544,19
Cc1cc(F)c(C(F)(F)F)cc1NCc1cccc(C=C2C(=O)C[C@@H](C)[C@@H]2C)c1,0,9.31,0.0,24
