source	mc_kt	ntrials	score	rmsd_native	open_distance
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.2809286289349	2.6013100147247314	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-514.113924402847	2.6122262477874756	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.0	1000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	1000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	1000	-515.9205046912424	2.602691411972046	18.005868911743164
BackRub	1.0	1000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	1000	-514.5609282482025	2.604308605194092	18.005868911743164
BackRub	1.0	1000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	1000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	1000	-513.3265229781948	2.603062391281128	18.005868911743164
BackRub	1.0	1000	-512.9898730917776	2.6024036407470703	18.005868911743164
BackRub	1.0	1000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	1000	-513.1850976056935	2.6034436225891113	18.005868911743164
BackRub	1.0	1000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	1000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	1000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	1000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	1000	-514.3169947921493	2.6026687622070312	18.005868911743164
BackRub	1.0	1000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	1000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	1000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	1000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	5000	-513.3681134538159	2.6032917499542236	18.005868911743164
BackRub	1.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	5000	-513.3781560830025	2.6033620834350586	18.005868911743164
BackRub	1.0	5000	-513.6558061539291	2.6027963161468506	18.005868911743164
BackRub	1.0	5000	-513.423476450533	2.6033878326416016	18.005868911743164
BackRub	1.0	5000	-513.3238368324166	2.60235595703125	18.005868911743164
BackRub	1.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	5000	-514.2054495795768	2.6038107872009277	18.005868911743164
BackRub	1.0	5000	-513.2168017931976	2.602874994277954	18.005868911743164
BackRub	1.0	5000	-513.4764631825436	2.6034696102142334	18.005868911743164
BackRub	1.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	1.5	10000	-513.5172035388018	2.5993733406066895	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.178193976167	2.598799467086792	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	10000	-513.8350508435531	2.5993337631225586	18.005868911743164
BackRub	1.5	10000	-513.3061226614644	2.5991640090942383	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.2484184942109	2.599243402481079	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.1752313770687	2.5992279052734375	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.4887272629883	2.5992887020111084	18.005868911743164
BackRub	1.5	1000	-513.3080427791061	2.6000349521636963	18.041126251220703
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-513.1501167553264	2.5992555618286133	18.025522232055664
